Vertices, Edges, Kruskals, Prims
17083, 17855, 6931, 1313952
17371, 42460, 15639, 2467254
14412, 26773, 15622, 1491505
7439, 31217, 0, 589387
5080, 23711, 15673, 295571
16018, 22784, 0, 1550842
11324, 33469, 15671, 1210398
13450, 18235, 15641, 1008111
10538, 24622, 0, 938217
6817, 18015, 0, 432738
17191, 44980, 15672, 2560909
11531, 35535, 0, 1260200
12498, 42982, 15621, 1547447
11521, 17847, 17783, 848152
17403, 45425, 15626, 2604756
16194, 47678, 15621, 2465711
16450, 25095, 19399, 1652945
18868, 22952, 15639, 1846443
13438, 39604, 15621, 1634017
12485, 45225, 15637, 1611809
17325, 27047, 9969, 1911222
10287, 36544, 15621, 1075912
11255, 35360, 15619, 1333872
13559, 45112, 15620, 1796611
6629, 28609, 15620, 494660
7615, 33114, 0, 637460
18890, 31053, 15640, 2283446
14022, 33863, 0, 1629186
15999, 31104, 15639, 1841766
6448, 20159, 15672, 413194
17514, 28051, 15640, 1957777
16126, 45315, 15642, 2361032
14621, 23842, 0, 1365581
15798, 48265, 15620, 2343786
7514, 8304, 0, 261786
14407, 23572, 0, 1320075
11735, 13443, 0, 703560
5939, 12500, 0, 283030
13132, 14117, 15673, 809107
19400, 27034, 0, 2173746
17616, 33674, 15618, 2224781
16588, 35990, 15639, 2199383
8960, 26035, 0, 745939
14291, 16958, 0, 1026721
5533, 19121, 6949, 316615
12104, 29626, 0, 1250950
18560, 32978, 18429, 2336182
10907, 18426, 15639, 821868
10836, 34238, 15621, 1099655
17430, 27848, 0, 15642
523, 4428, 998, 4084
592, 4551, 1994, 8975
537, 2324, 1000, 5949
527, 6100, 1995, 7015
602, 7076, 1963, 8976
224, 1752, 997, 1994
142, 2770, 1994, 997
111, 1963, 997, 997
139, 1928, 1284, 2022
162, 2861, 2014, 1004
196, 850, 0, 1993
106, 1082, 0, 993
122, 2416, 1034, 960
113, 618, 999, 996
123, 665, 0, 998
113, 887, 0, 0103,
107, 1129, 0, 975
127, 2451, 1031, 1005
127, 2412, 997, 1994
103, 636, 998, 0
127, 776, 0, 1060
120, 1026, 0, 997
12907, 20898, 15621, 1041906
12943, 40863, 15672, 1568322
9799, 39502, 15621, 1007257
7616, 9558, 15624, 296427
8575, 22742, 0, 645421
2067, 15229, 8979, 71855
2135, 11638, 4040, 67819
2240, 7852, 2992, 62831
2788, 6960, 2965, 76844
8921, 38604, 14960, 1011129
14282, 30314, 11967, 1716409
11312, 17457, 6997, 874263
4447, 12407, 4986, 226115
4138, 27115, 10974, 261299
9107, 28857, 11968, 841777
3853, 32086, 13963, 242698
7310, 28591, 10988, 598434
9509, 24531, 8977, 897646
1053, 9451, 3991, 24927
9150, 37558, 14001, 981939
12308, 12867, 4996, 749170
1033, 7095, 1994, 22942
3653, 13118, 3989, 175530
3739, 17511, 7979, 183562
9277, 30888, 12013, 933976
9054, 11281, 4039, 472789
6313, 13572, 5005, 331166
2841, 7062, 2992, 78759
11174, 19725, 6981, 897378
9388, 35997, 13925, 976000
13191, 32655, 12964, 1524311
4800, 11694, 3964, 208104
11777, 43639, 16906, 1473404
13537, 35644, 13962, 1663391
10528, 20011, 6982, 869029
14060, 26833, 11026, 1473264
3673, 14200, 5027, 155584
9772, 16775, 5994, 669418
4241, 26252, 10011, 251043
7030, 16209, 6004, 420485
12486, 15360, 5984, 840461
13249, 16661, 5982, 972154
5572, 16929, 6000, 311200
10361, 17516, 6015, 739976
10688, 22555, 7980, 918544
14149, 46733, 17972, 2039923
7338, 30792, 10990, 624647
6101, 33431, 12987, 478768
1787, 6227, 1976, 38946
5515, 15495, 6002, 296321
2012, 18216, 7971, 70857
8212, 39859, 14961, 817409
12251, 24573, 9027, 1181504
4693, 5619, 2034, 144355
10730, 31254, 11968, 1113366
9322, 33993, 12961, 929231
4343, 24015, 14011, 251358
12218, 28351, 10958, 1254718
1082, 5597, 2992, 18982
6503, 14327, 4986, 355974
14056, 26646, 9921, 1488688
12859, 35742, 12962, 1548959
7741, 11639, 3989, 389961
14619, 30651, 10978, 1726003
10779, 28689, 10947, 1080784
5668, 14342, 4982, 295261
13356, 15828, 5018, 939189
6172, 16490, 6016, 355124
2343, 10756, 4030, 70850
9686, 20371, 7947, 765952
2955, 11362, 3991, 104971
3201, 22131, 7946, 157629
10359, 16258, 5984, 718080
7109, 29514, 12932, 598503
10838, 36450, 13983, 1209944
8170, 28425, 9939, 719127
12840, 34948, 13955, 1526948
4895, 27355, 9990, 327176
14959, 61940, 24935, 2542697
12124, 33506, 12039, 1384499
6982, 34917, 13964, 610419
11569, 51397, 20923, 1565086
9600, 40856, 16930, 1085263
11533, 47501, 18896, 1529607
10923, 53934, 21997, 1474652
11942, 24772, 8976, 1129140
10454, 37308, 13962, 1296687
8332, 49298, 19944, 957462
9256, 40591, 15974, 1017475
7340, 15858, 6004, 453512
2013, 6383, 2991, 50828
10493, 38092, 14941, 1164210
11830, 27710, 9973, 1211448
13922, 51804, 20946, 2085790
11520, 17479, 9973, 848680
5178, 34678, 13980, 376574
12516, 47860, 19946, 1708687
5358, 31257, 12993, 378029
8478, 14773, 4987, 510687
11547, 37970, 14978, 1363733
14413, 29272, 10991, 1672721
2964, 4889, 2004, 66820
7589, 12611, 4006, 403970
1904, 19843, 8020, 65044
11573, 25692, 8988, 1086707
1887, 17194, 8975, 67869
2330, 21097, 8943, 90812
12234, 35063, 14934, 1393159
11542, 46970, 18947, 1474362
11602, 24168, 8976, 1051236
3240, 10743, 3989, 115739
1953, 11025, 4961, 55851
8837, 35721, 14976, 870075
1198, 11487, 5017, 26982
11622, 23152, 8992, 1031926
1071, 3703, 998, 14960
12476, 24843, 9973, 1215804
3404, 10579, 3989, 120728
3664, 20432, 7994, 179572
11684, 30857, 11988, 1231375
8282, 17585, 5984, 548079
10682, 47105, 19946, 1329562
11855, 47535, 18973, 1533840
2788, 11847, 4987, 99733
11713, 29332, 10918, 1206418
6553, 41189, 17003, 581101
13167, 47239, 18950, 1795227
8790, 21327, 6977, 667755
1900, 5829, 2024, 39944
11739, 49822, 19963, 1584863
10536, 35895, 13964, 1140446
8353, 21574, 7978, 624419
2418, 9030, 4987, 74821
3846, 26617, 10969, 213485
11765, 37544, 14985, 1386103
10628, 19642, 6984, 820472
1668, 8379, 2993, 40920
7973, 24415, 9978, 637883
8518, 13168, 3989, 476778
11814, 35004, 13958, 1362556
13043, 43231, 16972, 1740116
9120, 28985, 10993, 838390
6940, 21692, 8975, 518412
2953, 8086, 3556, 97314
11844, 33481, 13000, 1307175
8746, 33672, 12966, 840578
14847, 38338, 14964, 1951260
3350, 5808, 1955, 83828
13804, 31987, 11970, 1584881
11876, 42709, 16937, 1473897
13433, 29552, 10970, 1460819
4723, 21272, 7995, 276808
12002, 23743, 8995, 1121230
4527, 15001, 6013, 213092
11942, 28400, 10918, 1211767
12959, 43433, 16957, 1715447
4300, 10742, 3964, 170595
6399, 12370, 5031, 315691
5076, 16102, 6023, 260335
12007, 46857, 18931, 1564124
9285, 38096, 15954, 962888
12588, 22652, 8004, 1131432
8070, 28882, 10983, 692309
8783, 30527, 10971, 795995
3059, 29642, 11998, 158634
7288, 41039, 15957, 690624
14772, 51610, 20946, 2249976
12188, 18827, 6942, 965476
2835, 6828, 2993, 78411
14452, 16251, 5039, 1050750
9467, 16734, 10578, 654922
8096, 25501, 8004, 660104
12202, 25080, 11116, 1152122
6731, 27021, 9533, 504966
